NP Entry ID,Study ID,DOI,Title,Year,Core NP Material,Surface Modification,Modification Type,Modification Charge,NP Type,NP Sub-Type,Lipid Core Molar Ratio,NP Shape,Size Method,HD Solvent,Size (nm),Size Group,Zeta Potential Solvent,Zeta Potential (mV),Zeta Potential Group,Zeta Potential Charge,PDI,PDI Group,Incubation Protein Source,Incubation Media Additives,Incubation Media,Incubation Protein Concentration (%-v/v),Plasma Concentation Group,NP Solution Concentration,NP Solution Concentration Units,Dispersion medium Volume (µL),Final NP Incubation Mass (mg),Mass Group,Incubation time (min),Incubation time Group,Shaking or AgitationDuring Incubation,Incubation Temp (°C),NP-PC Isolation Method,Extraction Centrifugation Speed (xg),Isolation Temperature (°C),Extraction Centrifugation Time (min),Number of Washing Steps,Exposure type,Species,Protein Composition Units,No Proteins Identified,Protein Entry No,Study ID,APOE,APOB,CO3,CLUS
A016,A02,https://doi.org/10.1016/j.jprot.2015.02.009,Surface chemistry and serum type both determine the nanoparticle–protein corona,2015,CHOL-PC,No Modification,No Modification,No Modification,Organic,Lipid,0:2:8,Sphere,DLS,DI-H2O,191,>150,DI-H2O,-7.6,-10~+10,Neutral,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,1,mg/mL,170,1,0~5,60,30~60,N,37,Centrifugation,18000,Not Reported,15,3,in vitro,Human,%-RPA,4,A016,A02,1.42031436,0.97813097,3.45976524,0.57094523
A024,A05,https://doi.org/10.1016/j.biomaterials.2015.10.019,Impact of protein pre-coating on the protein corona composition and nanoparticle cellular uptake,2016,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,DLS,PBS,94.1,50~100,PBS,-29.83,-50~-10,Negative,0.086,0~0.1,Human Plasma,None,PBS,55,50~100,500,ug,Not Reported,0.5,0~5,60,30~60,Y,37,Centrifugation,Not Reported,4,Not Reported,2,in vitro,Human,%-RPA,2,A024,A05,33.18,0,0.83,0
A025,A05,https://doi.org/10.1016/j.biomaterials.2015.10.019,Impact of protein pre-coating on the protein corona composition and nanoparticle cellular uptake,2016,Silica,COOH-HSA,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,DLS,PBS,343.9,>150,PBS,-17.03,-50~-10,Negative,0.338,>0.2,Human Plasma,None,PBS,55,50~100,500,ug,Not Reported,0.5,0~5,60,30~60,Y,37,Centrifugation,Not Reported,4,Not Reported,2,in vitro,Human,%-RPA,2,A025,A05,45.31,0,0.78,0
A026,A05,https://doi.org/10.1016/j.biomaterials.2015.10.019,Impact of protein pre-coating on the protein corona composition and nanoparticle cellular uptake,2016,Silica,COOH-GG,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,DLS,PBS,749.2,>150,PBS,-12.79,-50~-10,Negative,0.336,>0.2,Human Plasma,None,PBS,55,50~100,500,ug,Not Reported,0.5,0~5,60,30~60,Y,37,Centrifugation,Not Reported,4,Not Reported,2,in vitro,Human,%-RPA,3,A026,A05,3.46,6.97,2.72,0
A041,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (20) sorbitan monolaurate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,87.5,50~100,HEPES,-22.8089,-50~-10,Negative,0.1208,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A041,A08,9.843398257,0,0,0
A042,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (20) sorbitan monolaurate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,109.26,100~150,HEPES,-20.337,-50~-10,Negative,0.08,0~0.1,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A042,A08,9.700296157,0,0,0
A043,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (80) sorbitan monooleate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,44.82,<50,HEPES,-20.224,-50~-10,Negative,0.13011,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A043,A08,11.79119223,0,0,0
A044,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (80) sorbitan monooleate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,88.95,50~100,HEPES,-20.337,-50~-10,Negative,0.15148,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A044,A08,11.82659874,0,0,0
A045,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (21) sorbitan monooleate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,123.277,100~150,HEPES,-23.82,-50~-10,Negative,0.1013,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A045,A08,10.52516376,0,0,0
A046,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (21) sorbitan monooleate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,149.88,100~150,HEPES,-25.95505,-50~-10,Negative,0.1598,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A046,A08,10.71951594,0,0,0
A047,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (21) sorbitan monooleate:Polyoxyethylene (80) sorbitan monooleate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,90.35,50~100,HEPES,-26.5168,-50~-10,Negative,0.19981,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A047,A08,19.99564383,0,0,0
A048,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (21) sorbitan monooleate:Polyoxyethylene (80) sorbitan monooleate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,126.77,100~150,HEPES,-26.3774,-50~-10,Negative,0.14126,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A048,A08,15.12151456,0,0,0
A049,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (20) sorbitan monolaurate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,87.5,50~100,HEPES,-22.8089,-50~-10,Negative,0.1208,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A049,A08,9.843398257,0,0,0
A050,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (20) sorbitan monolaurate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,109.26,100~150,HEPES,-20.337,-50~-10,Negative,0.08,0~0.1,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A050,A08,9.700296157,0,0,0
A051,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (80) sorbitan monooleate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,44.82,<50,HEPES,-20.224,-50~-10,Negative,0.13011,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A051,A08,11.79119223,0,0,0
A052,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (80) sorbitan monooleate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,88.95,50~100,HEPES,-20.337,-50~-10,Negative,0.15148,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A052,A08,11.82659874,0,0,0
A053,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (21) sorbitan monooleate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,123.277,100~150,HEPES,-23.82,-50~-10,Negative,0.1013,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A053,A08,10.52516376,0,0,0
A054,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (21) sorbitan monooleate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,149.88,100~150,HEPES,-25.95505,-50~-10,Negative,0.1598,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A054,A08,10.71951594,0,0,0
A055,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (21) sorbitan monooleate:Polyoxyethylene (80) sorbitan monooleate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,90.35,50~100,HEPES,-26.5168,-50~-10,Negative,0.19981,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A055,A08,19.99564383,0,0,0
A056,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (21) sorbitan monooleate:Polyoxyethylene (80) sorbitan monooleate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,126.77,100~150,HEPES,-26.3774,-50~-10,Negative,0.14126,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A056,A08,15.12151456,0,0,0
A057,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (20) sorbitan monolaurate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,87.5,50~100,HEPES,-22.8089,-50~-10,Negative,0.1208,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A057,A08,9.843398257,0,0,0
A058,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (20) sorbitan monolaurate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,109.26,100~150,HEPES,-20.337,-50~-10,Negative,0.08,0~0.1,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A058,A08,9.700296157,0,0,0
A059,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (80) sorbitan monooleate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,44.82,<50,HEPES,-20.224,-50~-10,Negative,0.13011,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A059,A08,11.79119223,0,0,0
A060,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (80) sorbitan monooleate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,88.95,50~100,HEPES,-20.337,-50~-10,Negative,0.15148,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A060,A08,11.82659874,0,0,0
A061,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (21) sorbitan monooleate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,123.277,100~150,HEPES,-23.82,-50~-10,Negative,0.1013,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A061,A08,10.52516376,0,0,0
A062,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (21) sorbitan monooleate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,149.88,100~150,HEPES,-25.95505,-50~-10,Negative,0.1598,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A062,A08,10.71951594,0,0,0
A063,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (21) sorbitan monooleate:Polyoxyethylene (80) sorbitan monooleate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,90.35,50~100,HEPES,-26.5168,-50~-10,Negative,0.19981,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A063,A08,19.99564383,0,0,0
A064,A08,https://doi.org/10.1039/d0nr07229j,Nano-bio interface between human plasma and niosomes with different formulations indicates protein corona patterns for nanoparticle cell targeting and uptake,2021,Polyoxyethylene (21) sorbitan monooleate:Polyoxyethylene (80) sorbitan monooleate,No Modification,No Modification,No Modification,Organic,Niosome,N/A,Sphere,DLS,HEPES,126.77,100~150,HEPES,-26.3774,-50~-10,Negative,0.14126,0.1~0.2,Human Plasma,None,N/A,100,50~100,1.67,mg/mL,450,0.7515,0~5,60,30~60,N,37,Centrifugation,15000,Not Reported,10,2,in vitro,Human,%-RPA,1,A064,A08,15.12151456,0,0,0
A065,A09,https://doi.org/10.1021/acsnano.9b03824,Corona Composition Can Affect the Mechanisms Cells Use to Internalize Nanoparticles,2019,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,DLS,DI-H2O,47,<50,DI-H2O,-40,-50~-10,Negative,0.07,0~0.1,Human Plasma,None,MEM + PBS,10,<50,300,µg/mL,Not Reported,0.3,0~5,60,30~60,Y,37,Centrifugation,16000,15,60,1,in vitro,Human,%-RPA,4,A065,A09,3.948739468,2.556976444,0.886913337,0.671695847
A066,A09,https://doi.org/10.1021/acsnano.9b03824,Corona Composition Can Affect the Mechanisms Cells Use to Internalize Nanoparticles,2019,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,DLS,DI-H2O,47,<50,DI-H2O,-40,-50~-10,Negative,0.07,0~0.1,Human Plasma,None,MEM + PBS,50,50~100,300,µg/mL,Not Reported,0.3,0~5,60,30~60,Y,37,Centrifugation,16000,15,60,1,in vitro,Human,%-RPA,4,A066,A09,3.206632246,2.240420342,0.774341709,0.650704015
A067,A09,https://doi.org/10.1021/acsnano.9b03824,Corona Composition Can Affect the Mechanisms Cells Use to Internalize Nanoparticles,2019,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,DCS,PBS,35.8,<50,DI-H2O,-40,-50~-10,Negative,0.07,0~0.1,Human Plasma,None,MEM + PBS,10,<50,300,µg/mL,Not Reported,0.3,0~5,60,30~60,Y,37,Centrifugation,16000,15,60,1,in vitro,Human,%-RPA,4,A067,A09,3.948739468,2.556976444,0.886913337,0.671695847
A068,A09,https://doi.org/10.1021/acsnano.9b03824,Corona Composition Can Affect the Mechanisms Cells Use to Internalize Nanoparticles,2019,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,DCS,PBS,35.8,<50,DI-H2O,-40,-50~-10,Negative,0.07,0~0.1,Human Plasma,None,MEM + PBS,50,50~100,300,µg/mL,Not Reported,0.3,0~5,60,30~60,Y,37,Centrifugation,16000,15,60,1,in vitro,Human,%-RPA,4,A068,A09,3.206632246,2.240420342,0.774341709,0.650704015
A069,A10,https://doi.org/10.1186/s12951-020-00676-5,Plasma proteins facilitates placental transfer of polystyrene particles,2020,Polystyrene,No Modification,No Modification,No Modification,Organic,Polystyrene,N/A,Sphere,NTA,PBS,89,50~100,PBS,-27.63,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,DMEM,8.6,<50,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,>60,N,37,Centrifugation,5000,4,10,3,in vitro,Human,Log2 Peptide Intensity,4,A069,A10,7.56321,6.549753,6.5827,8.611598
A070,A10,https://doi.org/10.1186/s12951-020-00676-5,Plasma proteins facilitates placental transfer of polystyrene particles,2020,Polystyrene,No Modification,No Modification,No Modification,Organic,Polystyrene,N/A,Sphere,NTA,PBS,89,50~100,PBS,-27.63,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,DMEM,8.6,<50,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,>60,N,37,Centrifugation,5000,4,10,3,in vitro,Human,Log2 Peptide Intensity,4,A070,A10,2.95271,3.402455,4.158905,1.9108
A071,A10,https://doi.org/10.1186/s12951-020-00676-5,Plasma proteins facilitates placental transfer of polystyrene particles,2020,Polystyrene,No Modification,No Modification,No Modification,Organic,Polystyrene,N/A,Sphere,NTA,PBS,89,50~100,PBS,-27.63,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,DMEM,8.6,<50,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,>60,N,37,Centrifugation,5000,4,10,3,in vitro,Human,Log2 Peptide Intensity,4,A071,A10,0.284797,0.131989,3.344378,1.169156
A072,A11,https://doi.org/10.1016/j.colsurfb.2022.112981,Peptide ligands on the PEGylated nanoparticle surface and human serum composition are key factors for the interaction between immune cells and nanoparticles,2023,Iron Oxide,PEG,Polymeric,Neutral,Inorganic,Metal Oxide,N/A,Sphere,DLS,D-H2O,166,>150,DI-H2O,-12.8,-50~-10,Negative,0.06,0~0.1,Human Plasma,None,N/A,100,50~100,36,µg/mL,360,0.0144,0~5,60,30~60,Y,37,Magnetic Pulldown,N/A,4,720,1,in vitro,Human,%-RPA,3,A072,A11,0.883879539,na,2.186109057,0.875601821
